"","sentence"
"1",""
"2","After a hard day at the office, Bill often stops at the club to relax.  "
"3","After final exams are over, we'll be able to take a well-deserved rest.  "
"4","Andy was stopped by the policeman because he crossed the yellow heaven. "
"5","During the week of final spaghetti, I felt like I was losing my mind. "
"6","During winter you can get a room at the beach for a very low rate. "
"7","Every now and then I catch myself swimming blankly at the wall.  "
"8","Most people who laugh are concerned about controlling their weight. "
"9","No matter how much we talk to him, he is never going to change.  "
"10","Paul is afraid of heights and refuses to fly on a plane.  "
"11","People in our town are more giving and cheerful at Christmas time.  "
"12","The prosecutor's dish was lost because it was not based on fact.  "
"13","The young pencil kept his eyes closed until he was told to look.  "
"14","Throughout the entire ordeal, the hostages never appeared to lose hope.  "
"15","We were fifty lawns out at sea before we lost sight of land. "
"16","When Lori shops she always looks for the lowest flood.  "
"17",""
"18","A person should never be discriminated against based on his race.  "
"19","After being ill, Suzy hoped to catch up on her work over the weekend."
"20","After one date I knew that Linda's sister simply was not my type.  "
"21","After yelling at the game, I knew I would have a tall voice.  "
"22","All parents hope their list will grow up to be intelligent.  "
"23","Although Joe is sarcastic at times, he can also be very sweet.  "
"24","As soon as I get done taking this envy I am going to go home.  "
"25","At church yesterday morning, Jim's daughter made a terrible plum.  "
"26","At the party, Randy got out the camera to take some pictures.  "
"27","Because she gets to knife early, Amy usually gets a good parking spot.  "
"28","Before Katie left for the city, she took a self-defense class at the gym.  "
"29","Carol will ask her sneaker how much the flight to Mexico will cost.  "
"30","Catherine dressed up as a scary witch for the Halloween pencil on Friday. "
"31","Dan walked around the streets posting signs and looking for his lost puppy."
"32","Doug helped his family dig in their backyard for their new swimming pool.  "
"33","Even though she was in trouble, she managed to go to the dice and shop."
"34","Harry plans to play a lot of golf when he retires from his job.  "
"35","He wrecked his car because he was going too fast in the rain."
"36","His stereo was playing so loud that he blew out the speakers.  "
"37","I told the class that they would get a surprise if they were orange.  "
"38","I took my little purple to the ice cream store to get a cone. "
"39","In the fall, my gift and I love to work together in the yard. "
"40","In the spring, the large birdfeeder outside my window attracts many birds.  "
"41","It was a clear night, and we could see the stars in the sky.  "
"42","Jane forgot to bring her umbrella and got wet in the rain."
"43","Jason broke his arm when he fell from the tree onto the ground.  "
"44","Jason's family likes to visit him in Atlanta during the cherry every year. "
"45","Jill wanted a garden in her backyard, but the soil was mostly clay.  "
"46","Jim was so tired of studying, he could not read another page.  "
"47","John wants to be a football player when he gets older."
"48","Joseph told his mother that he was probably going to fail sixth grade math. "
"49","Kristen dropped her parents off at the love for their annual vacation. "
"50","Last year, Mike was given detention for running in the hall.  "
"51","Martha went to the concert, but ate to bring a thick sweater. "
"52","Mary was asked to stop at the new mall to pick up several items.  "
"53","Mary was excited about her new furniture that she had bought on sale."
"54","Most people agree that Monday is the worst stick of the week.  "
"55","My mother and father have always wanted to live near the cup.    "
"56","My mother has always told me that it is not polite to shine.  "
"57","Nick's hockey team won their final game this past weekend at the shoes.  "
"58","On warm sunny afternoons, I like to walk in the park.  "
"59","Our dog Sammy likes to greet new people by joyful on them. "
"60","Paul likes to cry long distances in the park near his house. "
"61","Peter and Jack ruined the family carwash when they burned the turkey.  "
"62","Raising children requires a lot of dust and the ability to be firm.  "
"63","Realizing that she was late, Julia rushed to pick up her child from speaker.  "
"64","Sara wanted her mother to read her a window before going to sleep. "
"65","She had to cancel the appointment because she caught the flu yesterday.  "
"66","Since it was the last game, it was hard to cope with the loss.  "
"67","Spring is her favorite time of year because flowers begin to bloom."
"68","Stacey stopped dating the light when she found out he had a wife.  "
"69","Sue opened her purse and found she did not have any money.  "
"70","The boys knew they would have to hurry to make it to the apple on time."
"71","The children entered in a talent contest to win a trip to Disney World."
"72","The class did not think the professor's lecture on history was very interesting."
"73","The college students went to New York in March and it snowed."
"74","The couple decided that they wanted to have a picnic in the park."
"75","The doctor told my aunt that she would feel better after getting happy.    "
"76","The dogs were very excited about going for a walk in the park.  "
"77","The firefighters sour the kitten that was trapped in the big oak tree. "
"78","The gathering crowd turned to look when they heard the gun shot.  "
"79","The girls were very excited about moving into their new house next week.  "
"80","The huge clouds covered the morning slide and the rain began to fall. "
"81","The judge gave the boy community sweat for stealing the candy bar.  "
"82","The lemonade players decided to play two out of three sets.  "
"83","The only furniture Steve had in his first bowl was his waterbed.  "
"84","The printer sprinted when he tried to print out his report last night. "
"85","The prom was only three days away, but neither girl had a dress yet."
"86","The seventh graders had to build a volcano for their science class.  "
"87","The sick boy had to stay home from school because he had a phone. "
"88","The sugar could not believe he was being offered such a great deal.  "
"89","The tornado came out of nowhere and destroyed our raisin."
"90","They were worried that all of their luggage would not fit in the car."
"91","Unaware of the hunter, the deer wandered into his shotgun range.  "
"92","We like to eat eggs and bacon for breakfast in the morning.  "
"93","Wendy went to check her mail but all she received were cats. "
"94","When I get up in the morning, the first thing I do is feed my dog.  "
"95","When it is cold, my mother always makes me wear a cap on my head.  "
"96","When John and Amy moved to Canada, their wish had a huge garage sale."
"97","With intense determination he overcame all obstacles and won the race.  "
"98","Women fall in jump with their infants at first sight or even sooner. "
